Sep 10 21:09:40 raspberrypi [COURSE:1][ASSIGNMENT:4]: Linux raspberrypi 6.1.21-v8+ #1642 SMP PREEMPT Mon Apr  3 17:24:16 BST 2023 aarch64 GNU/Linux
Sep 10 21:09:40 raspberrypi [COURSE:1][ASSIGNMENT:4]: INITIAL 
Sep 10 21:09:40 raspberrypi [COURSE:1][ASSIGNMENT:4]: Pthread policy is SCHED_OTHER
Sep 10 21:09:40 raspberrypi [COURSE:1][ASSIGNMENT:4]: Pthread policy is SCHED_FIFO
Sep 10 21:09:40 raspberrypi [COURSE:1][ASSIGNMENT:4]: main thread running on CPU=2, CPUs =
Sep 10 21:09:40 raspberrypi [COURSE:1][ASSIGNMENT:4]:  0
Sep 10 21:09:40 raspberrypi [COURSE:1][ASSIGNMENT:4]:  1
Sep 10 21:09:40 raspberrypi [COURSE:1][ASSIGNMENT:4]:  2
Sep 10 21:09:40 raspberrypi [COURSE:1][ASSIGNMENT:4]:  3
Sep 10 21:09:40 raspberrypi [COURSE:1][ASSIGNMENT:4]: 
Sep 10 21:09:40 raspberrypi [COURSE:1][ASSIGNMENT:4]: starter thread running on CPU=3
Sep 10 21:09:40 raspberrypi [COURSE:1][ASSIGNMENT:4]: Thread idx=0, sum[0...0]=0, running on CPU=3, start=1726016980.620357, stop=1726016980.623862
Sep 10 21:09:40 raspberrypi [COURSE:1][ASSIGNMENT:4]: Thread idx=1, sum[0...1]=1, running on CPU=3, start=1726016980.624181, stop=1726016980.632581
Sep 10 21:09:40 raspberrypi [COURSE:1][ASSIGNMENT:4]: Thread idx=2, sum[0...2]=3, running on CPU=3, start=1726016980.632680, stop=1726016980.644376
Sep 10 21:09:40 raspberrypi [COURSE:1][ASSIGNMENT:4]: Thread idx=3, sum[0...3]=6, running on CPU=3, start=1726016980.644471, stop=1726016980.660617
Sep 10 21:09:40 raspberrypi [COURSE:1][ASSIGNMENT:4]: Thread idx=4, sum[0...4]=10, running on CPU=3, start=1726016980.660699, stop=1726016980.681291
Sep 10 21:09:40 raspberrypi [COURSE:1][ASSIGNMENT:4]: Thread idx=5, sum[0...5]=15, running on CPU=3, start=1726016980.681363, stop=1726016980.706402
Sep 10 21:09:40 raspberrypi [COURSE:1][ASSIGNMENT:4]: Thread idx=6, sum[0...6]=21, running on CPU=3, start=1726016980.706476, stop=1726016980.735956
Sep 10 21:09:40 raspberrypi [COURSE:1][ASSIGNMENT:4]: Thread idx=7, sum[0...7]=28, running on CPU=3, start=1726016980.736045, stop=1726016980.769990
Sep 10 21:09:40 raspberrypi [COURSE:1][ASSIGNMENT:4]: Thread idx=8, sum[0...8]=36, running on CPU=3, start=1726016980.770130, stop=1726016980.808564
Sep 10 21:09:40 raspberrypi [COURSE:1][ASSIGNMENT:4]: Thread idx=9, sum[0...9]=45, running on CPU=3, start=1726016980.808717, stop=1726016980.851556
Sep 10 21:09:40 raspberrypi [COURSE:1][ASSIGNMENT:4]: Thread idx=10, sum[0...10]=55, running on CPU=3, start=1726016980.851701, stop=1726016980.899028
