Sep 14 09:47:45 raspberrypi [COURSE:1][ASSIGNMENT:3]: 
Sep 14 09:47:45 raspberrypi [COURSE:1][ASSIGNMENT:3]: INITIAL 
Sep 14 09:47:45 raspberrypi [COURSE:1][ASSIGNMENT:3]: Pthread policy is SCHED_OTHER
Sep 14 09:47:45 raspberrypi [COURSE:1][ASSIGNMENT:3]: ADJUSTED 
Sep 14 09:47:45 raspberrypi [COURSE:1][ASSIGNMENT:3]: Pthread policy is SCHED_FIFO
Sep 14 09:47:45 raspberrypi [COURSE:1][ASSIGNMENT:3]: main thread running on CPU=3, CPUs =
Sep 14 09:47:45 raspberrypi [COURSE:1][ASSIGNMENT:3]:  0
Sep 14 09:47:45 raspberrypi [COURSE:1][ASSIGNMENT:3]:  1
Sep 14 09:47:45 raspberrypi [COURSE:1][ASSIGNMENT:3]:  2
Sep 14 09:47:45 raspberrypi [COURSE:1][ASSIGNMENT:3]:  3
Sep 14 09:47:45 raspberrypi [COURSE:1][ASSIGNMENT:3]: starter thread running on CPU=3
Sep 14 09:47:45 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=0, sum[0...0]=0, running on CPU=3, start=1726321665.275067, stop=1726321665.278591
Sep 14 09:47:45 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=1, sum[0...1]=1, running on CPU=3, start=1726321665.278927, stop=1726321665.287304
Sep 14 09:47:45 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=2, sum[0...2]=3, running on CPU=3, start=1726321665.287413, stop=1726321665.299104
Sep 14 09:47:45 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=3, sum[0...3]=6, running on CPU=3, start=1726321665.299190, stop=1726321665.315341
Sep 14 09:47:45 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=4, sum[0...4]=10, running on CPU=3, start=1726321665.315440, stop=1726321665.336034
Sep 14 09:47:45 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=5, sum[0...5]=15, running on CPU=3, start=1726321665.336116, stop=1726321665.361152
Sep 14 09:47:45 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=6, sum[0...6]=21, running on CPU=3, start=1726321665.361245, stop=1726321665.390740
Sep 14 09:47:45 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=7, sum[0...7]=28, running on CPU=3, start=1726321665.390840, stop=1726321665.424799
Sep 14 09:47:45 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=8, sum[0...8]=36, running on CPU=3, start=1726321665.424946, stop=1726321665.463338
Sep 14 09:47:45 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=9, sum[0...9]=45, running on CPU=3, start=1726321665.463439, stop=1726321665.506272
Sep 14 09:47:45 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=10, sum[0...10]=55, running on CPU=3, start=1726321665.506366, stop=1726321665.553660
Sep 14 09:47:45 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=11, sum[0...11]=66, running on CPU=3, start=1726321665.553756, stop=1726321665.605489
Sep 14 09:47:45 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=12, sum[0...12]=78, running on CPU=3, start=1726321665.605598, stop=1726321665.661802
Sep 14 09:47:45 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=13, sum[0...13]=91, running on CPU=3, start=1726321665.661905, stop=1726321665.722552
Sep 14 09:47:45 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=14, sum[0...14]=105, running on CPU=3, start=1726321665.722638, stop=1726321665.787731
Sep 14 09:47:45 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=15, sum[0...15]=120, running on CPU=3, start=1726321665.787830, stop=1726321665.857380
Sep 14 09:47:45 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=16, sum[0...16]=136, running on CPU=3, start=1726321665.857491, stop=1726321665.931495
Sep 14 09:47:46 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=17, sum[0...17]=153, running on CPU=3, start=1726321665.931642, stop=1726321666.010118
Sep 14 09:47:46 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=18, sum[0...18]=171, running on CPU=3, start=1726321666.010254, stop=1726321666.093141
Sep 14 09:47:46 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=19, sum[0...19]=190, running on CPU=3, start=1726321666.093247, stop=1726321666.180584
Sep 14 09:47:46 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=20, sum[0...20]=210, running on CPU=3, start=1726321666.180694, stop=1726321666.320057
Sep 14 09:47:46 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=21, sum[0...21]=231, running on CPU=3, start=1726321666.320172, stop=1726321666.416408
Sep 14 09:47:46 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=22, sum[0...22]=253, running on CPU=3, start=1726321666.416525, stop=1726321666.517199
Sep 14 09:47:46 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=23, sum[0...23]=276, running on CPU=3, start=1726321666.517301, stop=1726321666.622443
Sep 14 09:47:46 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=24, sum[0...24]=300, running on CPU=3, start=1726321666.622554, stop=1726321666.732122
Sep 14 09:47:46 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=25, sum[0...25]=325, running on CPU=3, start=1726321666.732209, stop=1726321666.846251
Sep 14 09:47:46 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=26, sum[0...26]=351, running on CPU=3, start=1726321666.846387, stop=1726321666.964872
Sep 14 09:47:47 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=27, sum[0...27]=378, running on CPU=3, start=1726321666.965056, stop=1726321667.101869
Sep 14 09:47:47 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=28, sum[0...28]=406, running on CPU=3, start=1726321667.102080, stop=1726321667.312420
